FID,OBJECTID,Site ID,Site Name,Level of Government,State,Level of Protection,Management Agency,Management Plan,Primary Conservation Focus,Conservation Focus,Fishing Restrictions,Protection Focus,Permanence,Constancy,Year Established,Anchor,Vessel,IUCN_MPA,IUCN category,Category,Marine Status,URL,WDPA_Cd,ProSeasID,Designation,Area (km2),Marine Area (km2),Percent Area Marine,No-Take Area (km2),Longitude,Latitude,VxCount,SHAPE_Leng,SHAPE_Area,Shape__Area,Shape__Length
253,253,NH5,Hampton Beach State Park,State,NH,Zoned Multiple Use,New Hampshire Division of Parks and Recreation,Non-MPA Programmatic Habitat Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1933,,,1,IV,IUCN MPA,Mixed,https://www.nhstateparks.org/visit/state-parks/hampton-beach-state-park,555586799,NH5,State Park,0.919983,0.36318323,39,0,-70.80393617,42.91716429,215,0.113237783,0.000101374,1715361.574,15586.87883
254,254,NH6,Odiorne Point State Park,State,NH,Uniform Multiple Use,New Hampshire Division of Parks and Recreation,Non-MPA Programmatic Habitat Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1961,,,1,IV,IUCN MPA,Mixed,https://www.nhstateparks.org/visit/state-parks/odiorne-point-state-park,555586800,NH6,State Park,1.37547,0.141314372,10,0,-70.72136189,43.04269534,415,0.13343791,0.000151874,2575130.07,17046.22888
255,255,NH7,Rye Harbor State Park (Ragged Neck),State,NH,Uniform Multiple Use,New Hampshire Division of Parks and Recreation,Non-MPA Programmatic Habitat Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1936,,,1,IV,IUCN MPA,Interface,https://www.nhstateparks.org/visit/state-parks/rye-harbor-state-park,555586801,NH7,State Park,0.263383,0.00557251,2,0,-70.75222891,43.00396547,78,0.035628181,2.90635E-05,492483.5977,4751.798778
256,256,NJ1,Cheesequake State Park,State,NJ,Zoned Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1938,,,1,IV,IUCN MPA,Mixed,https://www.state.nj.us/dep/parksandforests/parks/cheesequake.html,0,NJ1,State Park,6.37746,0.413480818,6,0,-74.26782329,40.44050843,3465,0.352006817,0.0006762,11009992.52,44585.73714
257,257,NJ11,Port Republic Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Seasonal,1962,,,1,VI,IUCN MPA,Interface,http://www.njwildlifetrails.org/PineBarrensTrails/Sites/tabid/1698/Scope/site/Guide/PINEBARREN/Site/348/Default.aspx,0,NJ11,Wildlife Management Area,6.64328,0.037667301,1,0,-74.47923658,39.54658762,1095,0.423031928,0.000695004,11165471.54,53781.48012
258,258,NJ12,Swan Bay Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1968,,,1,VI,IUCN MPA,Interface,https://www.state.nj.us/dep/fgw/wmaregs.htm,0,NJ12,Wildlife Management Area,14.2163,0.034946728,0,0,-74.51044779,39.58763315,1596,0.60986068,0.00148863,23937103.72,76772.05032
259,259,NJ15,Great Bay Boulevard Wildlife Management Area,State,NJ,Zoned Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1974,,,1,VI,IUCN MPA,Mixed,http://www.wildlifeviewingareas.com/viewing-area/great-bay-boulevard-wildlife-management-area/,0,NJ15,Wildlife Management Area,22.7376,1.663413644,7,0,-74.32861038,39.54166582,5982,1.06531192,0.002379338,38234296.22,134305.7269
260,260,NJ2,Fort Mott State Park,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Cultural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Focal Resource,Permanent,Year-round,1951,,,1,IV,IUCN MPA,Interface,https://www.state.nj.us/dep/parksandforests/parks/fortmott.html,0,NJ2,State Park,0.372194,0.014349685,4,0,-75.55106091,39.60482066,31,0.026104734,3.89831E-05,627003.0273,3285.797339
261,261,NJ20,Heislerville Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Focal Resource,Permanent,Year-round,1956,,,1,VI,IUCN MPA,Interface,http://www.njwildlifetrails.org/SkylandsTrails/Sites/tabid/445/Scope/site/Guide/DELBAYSH/Site/3/Default.aspx,0,NJ20,Wildlife Management Area,26.1689,1.380151868,5,0,-74.98375557,39.20514822,3938,1.207728939,0.002725666,43595847.07,149938.4416
262,262,NJ21,Dennis Creek Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1957,,,1,VI,IUCN MPA,Interface,https://www.state.nj.us/dep/fgw/wmaland.htm,0,NJ21,Wildlife Management Area,29.5219,0.608345628,2,0,-74.87078911,39.1716494,3117,0.997296341,0.003072955,49119388.66,125036.5166
263,263,NJ24,Fortescue Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1965,,,1,VI,IUCN MPA,Interface,https://www.state.nj.us/dep/fgw/pdf/wmamaps/fortescue.pdf,0,NJ24,Wildlife Management Area,5.51746,0.302954704,5,0,-75.18217453,39.2561205,882,0.284160056,0.000575008,9202224.363,35701.97843
264,264,NJ26,Cape May Wetlands Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1956,,,1,VI,IUCN MPA,Mixed,https://www.state.nj.us/dep/fgw/pdf/wmamaps/cape_may_wetlands_capemay.pdf,0,NJ26,Wildlife Management Area,66.8703,5.57738018,8,0,-74.76515675,39.20433808,27257,4.398979129,0.006953579,111037327.2,546487.3834
265,265,NJ29,Abbotts Meadow Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1994,,,1,VI,IUCN MPA,Interface,http://www.njwildlifetrails.org/SkylandsTrails/Sites/tabid/445/Scope/site/Guide/DELBAYSH/Site/12/Default.aspx,0,NJ29,Wildlife Management Area,5.36568,0.168972209,3,0,-75.49245467,39.52182145,1727,0.255879564,0.000561323,9017484.582,32712.65872
266,266,NJ3,Barnegat Lighthouse State Park,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Focal Resource,Permanent,Year-round,1957,,,1,IV,IUCN MPA,Mixed,https://www.state.nj.us/dep/parksandforests/parks/barnlig.html,0,NJ3,State Park,0.125961,0.047235247,37,0,-74.10395398,39.76362412,47,0.019622376,1.32234E-05,213173.3125,2381.566204
267,267,NJ30,Dix Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1962,,,1,VI,IUCN MPA,Mixed,http://www.njwildlifetrails.org/SkylandsTrails/Sites/tabid/445/Scope/site/Guide/DELBAYSH/Site/23/Default.aspx,0,NJ30,Wildlife Management Area,13.2815,0.764171004,6,0,-75.318568,39.36245008,4192,0.442119504,0.001386245,22218742.93,55395.93658
268,268,NJ34,Tuckahoe Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1993,,,1,VI,IUCN MPA,Mixed,http://www.njwildlifetrails.org/SkylandsTrails/Sites/tabid/445/Scope/site/Guide/DELBAYSH/Site/1/Default.aspx,0,NJ34,Wildlife Management Area,64.7056,4.004537106,6,0,-74.70991712,39.31038321,4786,1.238605598,0.006748587,108085754,154149.9581
269,269,NJ36,Salem River Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1993,,,1,VI,IUCN MPA,Mixed,http://www.njwildlifetrails.org/SkylandsTrails/Sites/tabid/445/Scope/site/Guide/DELBAYSH/Site/10/Default.aspx,0,NJ36,Wildlife Management Area,9.00943,1.283366799,14,0,-75.40844755,39.64456485,1487,0.724194166,0.000944057,15190898.6,89692.84901
270,270,NJ39,Cohansey River Wildlife Management Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1999,,,1,VI,IUCN MPA,Interface,https://www.njconservation.org/project/cohansey-river/,0,NJ39,Wildlife Management Area,2.52919,0.055454902,2,0,-75.31343498,39.39256042,1694,0.216947379,0.000264097,4234762.902,27071.73527
271,271,NJ4,Island Beach State Park,State,NJ,Zoned Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1953,,,1,IV,IUCN MPA,Mixed,https://www.state.nj.us/dep/parksandforests/parks/island.html#fish,0,NJ4,State Park,9.60455,0.865981817,9,0,-74.09325722,39.77998841,1460,0.367833634,0.001009202,16284112.41,50061.04266
272,272,NJ40,Liberty State Park,State,NJ,Zoned Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1976,,,1,IV,IUCN MPA,Mixed,https://www.state.nj.us/dep/parksandforests/parks/liberty.html,0,NJ40,State Park,4.79681,2.216462851,46,0,-74.053123,40.69939368,255,0.253967451,0.000510575,8345489.965,31218.93983
273,273,NJ42,Swan Point State Natural Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1978,,,1,V,IUCN MPA,Interface,https://www.stateparks.com/swan_point.html,0,NJ42,State Natural Area,0.665059,0.004626838,1,0,-74.06508061,40.03569857,335,0.083419725,7.01008E-05,1134671.594,10450.73606
274,274,NJ47,North Brigantine State Natural Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1978,,,1,V,IUCN MPA,Mixed,http://www.njwildlifetrails.org/PineBarrensTrails/Sites/tabid/1698/Scope/site/Guide/PINEBARREN/Site/354/Default.aspx,0,NJ47,State Natural Area,5.44676,1.582093358,29,0,-74.34848708,39.43151374,184,0.11475198,0.000569066,9130018.559,14346.27508
275,275,NJ49,Cape May Wetlands State Natural Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1978,,,1,V,IUCN MPA,Marine,https://www.state.nj.us/dep/parksandforests/parks/capemay.html,0,NJ49,State Natural Area,0.654005,0.654005051,100,0,-74.95512484,38.93491724,71,0.039819221,6.7848E-05,1080880.895,4832.600916
276,276,NJ5,Corson's Inlet State Park,State,NJ,Zoned Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1970,,,1,IV,IUCN MPA,Mixed,https://www.state.nj.us/dep/parksandforests/parks/corsons.html,0,NJ5,State Park,0.628277,0.05740162,9,0,-74.64555511,39.21418975,167,0.099638396,6.54374E-05,1046615.699,12798.83106
277,277,NJ52,Swimming River Natural Area,State,NJ,Uniform Multiple Use,New Jersey Department of Environmental Protection,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1967,,,1,V,IUCN MPA,Marine,http://nynjctbotany.org/njoptofc/swimming.html,0,NJ52,State Natural Area,0.352276,0.352276355,100,0,-74.09991491,40.32326623,40,0.032995996,3.72868E-05,606054.207,4419.906734
278,278,HI14,Old Kona Airport Marine Life Conservation District,State,HI,Uniform Multiple Use,Hawaii Department of Land and Natural Resources,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1992,Prohibited,Restricted,1,IV,IUCN MPA,Marine,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-old-kona-airport/,0,HI14_A,Marine Life Conservation District,1.06239,1.027982354,97,0,-156.011198,19.64067652,125,0.050746591,9.10293E-05,1197711.563,5778.413703
279,279,HI18,Kealakekua Bay Marine Life Conservation District,State,HI,Zoned w/No Take Areas,Hawaii Department of Land and Natural Resources,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1969,Restricted,Unrestricted,1,IV,IUCN MPA,Marine,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-kealakekua-bay/,13086,HI18_A,Marine Life Conservation District,1.23989,1.228584051,99,0,-155.9264971,19.47681907,234,0.050466228,0.000106129,1394971.113,5749.793905
280,280,NC603,Kitty Hawk Woods Coastal Reserve Dedicated Nature Preserve,State,NC,Uniform Multiple Use,North Carolina Department of Environment and Natural Resources,No Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Ecosystem,Permanent,Year-round,1997,,,1,V,IUCN MPA,Interface,http://portal.ncdenr.org/web/nhp/dedicated-nature-preserves,0,NC38,Dedicated Nature Preserve,6.33653,0.146846041,2,0,-75.7207164,36.07983909,282,0.1333654,0.000632691,9701013.395,16606.65759
281,281,NMS4,Florida Keys National Marine Sanctuary,Federal,FL,Zoned w/No Take Areas,NOAA National Marine Sanctuary Program,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1990,Restricted,Restricted,1,V,IUCN MPA,Marine,https://floridakeys.noaa.gov/,122900,NMS4,National Marine Sanctuary,9901.11,9901.094727,100,520.758,-81.71746747,24.69331452,39690,32.94635426,0.879416364,11994003566,3827872.001
282,282,OH2,Headland Dunes State Nature Preserve,State,OH,No Take,Ohio Department of Natural Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1977,,,1,Ia,IUCN MPA,Marine,http://naturepreserves.ohiodnr.gov/headlandsdunes,5555945,OH2,State Nature Preserve,0.0784575,0.078457475,100,0.078457475,-81.28502082,41.76158822,36,0.012525932,8.48785E-06,141008.7969,1679.073107
283,283,OH4,North Pond State Nature Preserve,State,OH,No Take,Ohio Department of Natural Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1999,,,1,Ia,IUCN MPA,Interface,http://naturepreserves.ohiodnr.gov/northpond,5555963,OH4,State Nature Preserve,0.174853,1.72827E-05,0,0.174853384,-82.70236861,41.61031107,32,0.025693573,1.88719E-05,312783.1445,3254.799511
284,284,OH5,North Shore Alvar State Nature Preserve,State,OH,No Take,Ohio Department of Natural Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1999,,,1,Ia,IUCN MPA,Mixed,http://naturepreserves.ohiodnr.gov/northshorealvar,55558075,OH5,State Nature Preserve,0.0190952,0.009774517,51,0.019095225,-82.71092034,41.61994791,63,0.011885605,2.06126E-06,34168.42188,1346.321766
285,285,OH7,Sheldon Marsh State Nature Preserve,State,OH,No Take,Ohio Department of Natural Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1979,,,1,Ia,IUCN MPA,Marine,http://naturepreserves.ohiodnr.gov/sheldonmarsh,374619,OH7,State Nature Preserve,1.89762,1.897617698,100,1.897617698,-82.61166951,41.42146336,175,0.102519488,0.000204213,3374779.031,13423.36162
286,286,OR41,Whale Cove Habitat Refuge,State,OR,No Take,Oregon Department of Fish and Wildlife,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1978,Unrestricted,Unrestricted,1,Ia,IUCN MPA,Mixed,https://www.oregon.gov/oprd/NATRES/pages/rs_faqcoastal.aspx#What_is_a_Habitat_Refuge_,0,OR41,Habitat Refuge,0.128369,0.112877399,88,0.128368542,-124.0706575,44.78891518,66,0.017375361,1.45961E-05,254859.4063,2248.264151
287,287,PR15,Bosque Estatal de Ceiba Natural Reserve,Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Restricted,Ecosystem,Permanent,Year-round,1979,Restricted,Restricted,1,Ia,IUCN MPA,Mixed,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,888837,PR15,Natural Reserve,2.37002,2.052412033,87,2.370022774,-65.63094241,18.25141147,341,0.147329132,0.000201399,2628141.116,16906.13855
288,288,PR16,Canal Luis Peña Natural Reserve,Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1999,Restricted,Unrestricted,1,Ia,IUCN MPA,Marine,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,555547387,PR16,Natural Reserve,6.36335,6.240495682,98,6.3633461,-65.32673161,18.31298766,314,0.144141202,0.000540897,7060394.859,16564.43306
289,289,PR24,Laguna Joyuda Natural Reserve,Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Restricted,Ecosystem,Permanent,Year-round,1980,Unrestricted,Unrestricted,1,Ia,IUCN MPA,Marine,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,302295,PR24,Natural Reserve,1.79399,1.705815196,95,1.79399085,-67.17799316,18.12989643,193,0.070269668,0.000152333,1986322.994,8037.937069
290,290,PR26,Isla de Desecheo Marine Reserve,Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,2000,Restricted,Unrestricted,1,Ia,IUCN MPA,Marine,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,555512159,PR26,Natural Reserve,6.13,6.092569828,99,6.130002022,-67.48058817,18.3747149,244,0.141095035,0.000521277,6807077.859,16050.13396
291,291,PR30,"El Pantano, Bosque de Pterocarpus y Lagunas Mandry y Santa Teresa Natural Reserve",Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited,Focal Resource,Permanent,Year-round,1984,Unrestricted,Restricted,1,Ia,IUCN MPA,Interface,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,888818,PR30,Natural Reserve,8.8373,0.021393424,0,8.837300301,-65.76729194,18.16575073,299,0.229253679,0.000750553,9788760.159,26229.42671
292,292,PR36,Tres Palmas de Rincón Marine Reserve,Territorial,PR,No Take,Puerto Rico Department of Natural and Environmental Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,2004,Restricted,Unrestricted,1,Ia,IUCN MPA,Marine,https://marineprotectedareas.noaa.gov/helpful_resources/states/puerto_rico.html,555512153,PR36,Natural Reserve,0.831146,0.804282606,97,0.831145763,-67.26720073,18.34758676,29,0.034796264,7.06633E-05,922558.0264,3971.468428
293,293,TX2,Candy Abshier Wildlife Management Area,State,TX,Uniform Multiple Use,Texas Parks and Wildlife Department,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Focal Resource,Permanent,Year-round,1990,Unrestricted,Unrestricted,1,VI,IUCN MPA,Interface,https://tpwd.texas.gov/huntwild/hunt/wma/find_a_wma/list/?id=36,353010,TX2,Wildlife Management Area,0.868443,0.000323237,0,0.868443429,-94.76413885,29.52987051,46,0.053817139,8.05435E-05,1147108.629,6413.313111
294,294,VA77,Cape Charles Coastal Habitat Natural Area Preserve,Partnership,VA,No Take,Virginia Department of Conservation and Recreation,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Prohibited,Ecosystem,Permanent,Year-round,1997,,,1,Ia,IUCN MPA,Interface,http://www.dcr.virginia.gov/natural_heritage/natural_area_preserves/capecharles?rewrite_uri=natural_heritage/natural_area_preserves/capecharles.shtml%3f,0,VA77,Natural Area Preserve,0.102136,0.00043839,0,0.1021358,-76.02246915,37.25676152,14,0.014870087,1.03552E-05,161223.2344,1761.239557
295,295,VI27,Compass Point Pond Marine Reserve and Wildlife Sanctuary,Territorial,US-VI,No Take,Virgin Islands Department Of Planning and Natural Resources,No Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Ecosystem,Permanent,Year-round,1992,,,1,Ia,IUCN MPA,Marine,https://www.coris.noaa.gov/activities/habitat_assessment/usvi.pdf,0,VI27,Marine Reserve and Wildlife Sanctuary,0.0255997,0.025463386,99,0.025599679,-64.86431431,18.31997841,65,0.005670354,2.17611E-06,28406.19629,649.8061172
296,296,VI30,St. Croix East End Marine Park,Territorial,US-VI,Zoned w/No Take Areas,Virgin Islands Department Of Planning and Natural Resources,Site-Specific Management Plan,Natural Heritage,"Natural Heritage, Cultural Heritage and Sustainable Production",Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,2003,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://www.coralreef.gov/meeting14/usvi.pdf,555586712,VI30,Marine Park,150.316,150.2736816,100,12.9534,-64.59025517,17.73302952,2245,0.776362028,0.012735158,165686952.7,88209.9164
297,297,WA102,Brackett's Landing Shoreline Sanctuary Conservation Area,Partnership,WA,No Take,Washington Department of Fish and Wildlife,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1970,Prohibited,Prohibited,1,Ia,IUCN MPA,Mixed,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas#,312821,WA102,Shoreline Sanctuary Conservation Area,0.189528,0.17798312,94,0.189527765,-122.3821878,47.81552822,27,0.021202964,2.27757E-05,420296.9297,2732.221529
298,298,WA19,Dabob Bay Natural Area Preserve,State,WA,Uniform Multiple Use,Washington Department of Natural Resources,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Ecosystem,Permanent,Year-round,1987,,,1,Ia,IUCN MPA,Mixed,https://www.dnr.wa.gov/dabob-bay-natural-area-preserve,0,WA19,Natural Area Preserve,0.703964,0.082561553,12,0.703964,-122.8091943,47.84973214,242,0.089684897,8.46422E-05,1562814.656,12595.59221
299,299,WA33,Zella M. Schultz/Protection Island Seabird Sanctuary,Partnership,WA,No Access,Washington Department of Fish and Wildlife,MPA Programmatic Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1975,,,1,Ia,IUCN MPA,Mixed,https://www.dnr.wa.gov/managed-lands/aquatic-reserves/protection-island-aquatic-reserve,555547389,WA33,Seabird Sanctuary,0.120499,0.014814762,12,0.120498694,-122.9409748,48.12215944,37,0.023083921,1.45666E-05,270409.9219,3040.260406
300,300,WA507,Sund Rock Conservation Area,State,WA,No Take,Washington Department of Fish and Wildlife,Non-MPA Programmatic Fisheries Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1994,,,1,Ia,IUCN MPA,Marine,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas#,312333,WA507,Conservation Area,0.287945,0.286505461,100,0.287944853,-123.1176843,47.43683889,59,0.024454366,3.43527E-05,629358.8281,3378.449153
301,301,WA509,Octopus Hole Conservation Area,State,WA,No Take,Washington Department of Fish and Wildlife,Non-MPA Programmatic Fisheries Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1998,,,1,Ia,IUCN MPA,Marine,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas,0,WA509,Conservation Area,0.131815,0.130941868,99,0.131814852,-123.11213,47.44783502,57,0.01955701,1.57292E-05,288227.4766,2727.051392
302,302,WA510,Orchard Rocks Conservation Area,State,WA,No Take,Washington Department of Fish and Wildlife,Non-MPA Programmatic Fisheries Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1998,,,1,Ia,IUCN MPA,Marine,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas,312335,WA510,Conservation Area,0.41924,0.419240057,100,0.419240057,-122.5319941,47.57754673,38,0.025853477,5.0151E-05,921256.8125,3406.777804
303,303,WA511,South 239th Street Park Conservation Area,Partnership,WA,No Take,Washington Department of Fish and Wildlife,Non-MPA Programmatic Fisheries Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1998,,,1,Ia,IUCN MPA,Marine,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas,0,WA511,Conservation Area,0.000828109,0.000801557,97,0.000828109,-122.327809,47.38793109,5,0.004583971,9.87047E-08,1806.632813,514.8842752
304,304,WA512,City of Des Moines Park Conservation Area,Partnership,WA,No Take,Washington Department of Fish and Wildlife,Non-MPA Programmatic Fisheries Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Prohibited,Focal Resource,Permanent,Year-round,1998,,,1,Ia,IUCN MPA,Mixed,https://wdfw.wa.gov/fishing/management/mpa/conservation-areas#,0,WA512,Conservation Area,0.0372299,0.030703718,82,0.037229884,-122.3315866,47.40337462,21,0.009204742,4.43883E-06,81269.875,1156.69857
